Year,Units,Time series,Federal state,GeoCode,Value
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Thuringia,code16,5.72
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Thuringia,code16,7.79
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Thuringia,code16,9.4
2022/1,Percentage,Hybrid Fiber Coax (HFC),Baden-Wuerttemberg,code08,63.77
2022/2,Percentage,Hybrid Fiber Coax (HFC),Baden-Wuerttemberg,code08,64.3
2023/1,Percentage,Hybrid Fiber Coax (HFC),Baden-Wuerttemberg,code08,65.3
2022/1,Percentage,Hybrid Fiber Coax (HFC),Bavaria,code09,58.7
2022/2,Percentage,Hybrid Fiber Coax (HFC),Bavaria,code09,59.42
2023/1,Percentage,Hybrid Fiber Coax (HFC),Bavaria,code09,59.3
2022/1,Percentage,Hybrid Fiber Coax (HFC),Berlin,code11,88.62
2022/2,Percentage,Hybrid Fiber Coax (HFC),Berlin,code11,88.73
2023/1,Percentage,Hybrid Fiber Coax (HFC),Berlin,code11,90.6
2022/1,Percentage,Hybrid Fiber Coax (HFC),Brandenburg,code12,32.53
2022/2,Percentage,Hybrid Fiber Coax (HFC),Brandenburg,code12,33.38
2023/1,Percentage,Hybrid Fiber Coax (HFC),Brandenburg,code12,35.2
2022/1,Percentage,Hybrid Fiber Coax (HFC),Bremen,code04,91.56
2022/2,Percentage,Hybrid Fiber Coax (HFC),Bremen,code04,91.56
2023/1,Percentage,Hybrid Fiber Coax (HFC),Bremen,code04,92.9
2022/1,Percentage,Hybrid Fiber Coax (HFC),Hamburg,code02,88.24
2022/2,Percentage,Hybrid Fiber Coax (HFC),Hamburg,code02,88.37
2023/1,Percentage,Hybrid Fiber Coax (HFC),Hamburg,code02,86.7
2022/1,Percentage,Hybrid Fiber Coax (HFC),Hesse,code06,56.13
2022/2,Percentage,Hybrid Fiber Coax (HFC),Hesse,code06,59.66
2023/1,Percentage,Hybrid Fiber Coax (HFC),Hesse,code06,60.6
2022/1,Percentage,Hybrid Fiber Coax (HFC),Mecklenburg Western Pomerania,code13,41.05
2022/2,Percentage,Hybrid Fiber Coax (HFC),Mecklenburg Western Pomerania,code13,42.55
2023/1,Percentage,Hybrid Fiber Coax (HFC),Mecklenburg Western Pomerania,code13,44.7
2022/1,Percentage,Hybrid Fiber Coax (HFC),Lower Saxony,code03,62.18
2022/2,Percentage,Hybrid Fiber Coax (HFC),Lower Saxony,code03,62.51
2023/1,Percentage,Hybrid Fiber Coax (HFC),Lower Saxony,code03,62.8
2022/1,Percentage,Hybrid Fiber Coax (HFC),North Rhine-Westphalia,code05,63.98
2022/2,Percentage,Hybrid Fiber Coax (HFC),North Rhine-Westphalia,code05,66.76
2023/1,Percentage,Hybrid Fiber Coax (HFC),North Rhine-Westphalia,code05,67.4
2022/1,Percentage,Hybrid Fiber Coax (HFC),Rhineland Palatinate,code07,54.47
2022/2,Percentage,Hybrid Fiber Coax (HFC),Rhineland Palatinate,code07,54.5
2023/1,Percentage,Hybrid Fiber Coax (HFC),Rhineland Palatinate,code07,55.7
2022/1,Percentage,Hybrid Fiber Coax (HFC),Saarland,code10,57.92
2022/2,Percentage,Hybrid Fiber Coax (HFC),Saarland,code10,58.98
2023/1,Percentage,Hybrid Fiber Coax (HFC),Saarland,code10,59.8
2022/1,Percentage,Hybrid Fiber Coax (HFC),Saxony,code14,33.79
2022/2,Percentage,Hybrid Fiber Coax (HFC),Saxony,code14,40.47
2023/1,Percentage,Hybrid Fiber Coax (HFC),Saxony,code14,46.4
2022/1,Percentage,Hybrid Fiber Coax (HFC),Saxony-Anhalt,code15,23.66
2022/2,Percentage,Hybrid Fiber Coax (HFC),Saxony-Anhalt,code15,23.88
2023/1,Percentage,Hybrid Fiber Coax (HFC),Saxony-Anhalt,code15,36.7
2022/1,Percentage,Hybrid Fiber Coax (HFC),Schleswig-Holstein,code01,66.61
2022/2,Percentage,Hybrid Fiber Coax (HFC),Schleswig-Holstein,code01,66.59
2023/1,Percentage,Hybrid Fiber Coax (HFC),Schleswig-Holstein,code01,66.7
2022/1,Percentage,Hybrid Fiber Coax (HFC),Thuringia,code16,35.41
2022/2,Percentage,Hybrid Fiber Coax (HFC),Thuringia,code16,35.11
2023/1,Percentage,Hybrid Fiber Coax (HFC),Thuringia,code16,38.9
