Year,Units,Time series,COMMENT_OBS_0,Type of area,Federal state,GeoCode,Value
2009,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,9.0
2010,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,8.0
2011,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,7.0
2012,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,7.0
2013,Hectares per day,Moving four-year average,r,,Baden-Wuerttemberg,code08,6.0
2014,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,6.0
2015,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,6.0
2016,Hectares per day,Moving four-year average,.,,Baden-Wuerttemberg,code08,
2017,Hectares per day,Moving four-year average,.,,Baden-Wuerttemberg,code08,
2018,Hectares per day,Moving four-year average,.,,Baden-Wuerttemberg,code08,
2019,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,5.0
2020,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,6.0
2021,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,5.0
2022,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,5.0
2023,Hectares per day,Moving four-year average,…,,Baden-Wuerttemberg,code08,
2030,Hectares per day,Moving four-year average,…,,Baden-Wuerttemberg,code08,
1996,Hectares per day,Moving four-year average,,,Bavaria,code09,27.0
1997,Hectares per day,Moving four-year average,,,Bavaria,code09,
1998,Hectares per day,Moving four-year average,,,Bavaria,code09,
1999,Hectares per day,Moving four-year average,,,Bavaria,code09,
2000,Hectares per day,Moving four-year average,,,Bavaria,code09,28.0
2001,Hectares per day,Moving four-year average,.,,Bavaria,code09,
2002,Hectares per day,Moving four-year average,.,,Bavaria,code09,
2003,Hectares per day,Moving four-year average,.,,Bavaria,code09,
2004,Hectares per day,Moving four-year average,,,Bavaria,code09,18.0
2005,Hectares per day,Moving four-year average,,,Bavaria,code09,17.0
2006,Hectares per day,Moving four-year average,,,Bavaria,code09,17.0
2007,Hectares per day,Moving four-year average,,,Bavaria,code09,17.0
2008,Hectares per day,Moving four-year average,,,Bavaria,code09,17.0
2009,Hectares per day,Moving four-year average,,,Bavaria,code09,17.0
2010,Hectares per day,Moving four-year average,,,Bavaria,code09,17.0
2011,Hectares per day,Moving four-year average,,,Bavaria,code09,18.0
2012,Hectares per day,Moving four-year average,,,Bavaria,code09,18.0
2013,Hectares per day,Moving four-year average,,,Bavaria,code09,19.0
2014,Hectares per day,Moving four-year average,.,,Bavaria,code09,
2015,Hectares per day,Moving four-year average,,,Bavaria,code09,12.0
2016,Hectares per day,Moving four-year average,.,,Bavaria,code09,
2017,Hectares per day,Moving four-year average,.,,Bavaria,code09,
2018,Hectares per day,Moving four-year average,,,Bavaria,code09,11.0
2019,Hectares per day,Moving four-year average,,,Bavaria,code09,11.0
2020,Hectares per day,Moving four-year average,,,Bavaria,code09,11.0
2021,Hectares per day,Moving four-year average,,,Bavaria,code09,11.0
2022,Hectares per day,Moving four-year average,…,,Bavaria,code09,
2023,Hectares per day,Moving four-year average,…,,Bavaria,code09,
2030,Hectares per day,Moving four-year average,…,,Bavaria,code09,
1996,Hectares per day,Moving four-year average,,,Berlin,code11,-1.0
1997,Hectares per day,Moving four-year average,,,Berlin,code11,
1998,Hectares per day,Moving four-year average,,,Berlin,code11,
1999,Hectares per day,Moving four-year average,,,Berlin,code11,
2000,Hectares per day,Moving four-year average,,,Berlin,code11,1.0
2001,Hectares per day,Moving four-year average,.,,Berlin,code11,
2002,Hectares per day,Moving four-year average,.,,Berlin,code11,
2003,Hectares per day,Moving four-year average,.,,Berlin,code11,
2004,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2005,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2006,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2007,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2008,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2009,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2010,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2011,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2012,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2013,Hectares per day,Moving four-year average,0,,Berlin,code11,0.0
2014,Hectares per day,Moving four-year average,-,,Berlin,code11,0.0
