Year,Units,Series,Meer,Value
2004,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,12.5
2005,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,12.5
2006,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,12.5
2007,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,12.5
2008,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,25.0
2009,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,25.0
2010,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2011,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2012,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,50.0
2013,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,50.0
2014,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,50.0
2015,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2016,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2017,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2018,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2019,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,50.0
2020,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,62.5
2003,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2004,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2005,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2006,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2007,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2008,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2009,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2010,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2011,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2012,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2013,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2014,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2015,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2016,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2017,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2018,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2019,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
2020,Prozent,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,,38.462
