Year,Units,Zeitreihe,Bundesland,GeoCode,Value
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Hessen,code06,27.54
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Mecklenburg-Vorpommern,code13,25.48
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Mecklenburg-Vorpommern,code13,27.64
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Mecklenburg-Vorpommern,code13,34.19
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Mecklenburg-Vorpommern,code13,41.68
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Mecklenburg-Vorpommern,code13,45.63
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Niedersachsen,code03,30.18
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Niedersachsen,code03,41.36
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Niedersachsen,code03,48.49
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Niedersachsen,code03,54.31
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Niedersachsen,code03,59.53
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Nordrhein-Westfalen,code05,18.36
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Nordrhein-Westfalen,code05,22.45
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Nordrhein-Westfalen,code05,29.59
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Nordrhein-Westfalen,code05,31.56
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Nordrhein-Westfalen,code05,35.32
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Rheinland-Pfalz,code07,7.54
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Rheinland-Pfalz,code07,11.64
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Rheinland-Pfalz,code07,17.4
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Rheinland-Pfalz,code07,21.54
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Rheinland-Pfalz,code07,24.85
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Saarland,code10,4.23
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Saarland,code10,6.24
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Saarland,code10,9.24
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Saarland,code10,12.38
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Saarland,code10,16.38
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen,code14,12.45
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen,code14,18.35
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen,code14,23.4
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen,code14,26.7
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen,code14,29.09
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen-Anhalt,code15,12.62
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen-Anhalt,code15,16.41
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen-Anhalt,code15,23.2
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen-Anhalt,code15,29.27
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Sachsen-Anhalt,code15,39.68
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Schleswig-Holstein,code01,41.35
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Schleswig-Holstein,code01,46.66
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Schleswig-Holstein,code01,55.26
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Schleswig-Holstein,code01,59.12
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Schleswig-Holstein,code01,62.24
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Thüringen,code16,5.72
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Thüringen,code16,7.79
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Thüringen,code16,9.39
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Thüringen,code16,13.8
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Thüringen,code16,15.77
2022/1,Prozent,Hybrid Fiber Coax (HFC),Baden-Württemberg,code08,63.77
2022/2,Prozent,Hybrid Fiber Coax (HFC),Baden-Württemberg,code08,64.3
2023/1,Prozent,Hybrid Fiber Coax (HFC),Baden-Württemberg,code08,65.31
2023/2,Prozent,Hybrid Fiber Coax (HFC),Baden-Württemberg,code08,65.4
2024/1,Prozent,Hybrid Fiber Coax (HFC),Baden-Württemberg,code08,65.66
2022/1,Prozent,Hybrid Fiber Coax (HFC),Bayern,code09,58.7
2022/2,Prozent,Hybrid Fiber Coax (HFC),Bayern,code09,59.42
2023/1,Prozent,Hybrid Fiber Coax (HFC),Bayern,code09,59.3
2023/2,Prozent,Hybrid Fiber Coax (HFC),Bayern,code09,59.93
2024/1,Prozent,Hybrid Fiber Coax (HFC),Bayern,code09,60.05
2022/1,Prozent,Hybrid Fiber Coax (HFC),Berlin,code11,88.62
2022/2,Prozent,Hybrid Fiber Coax (HFC),Berlin,code11,88.73
2023/1,Prozent,Hybrid Fiber Coax (HFC),Berlin,code11,90.6
2023/2,Prozent,Hybrid Fiber Coax (HFC),Berlin,code11,89.79
2024/1,Prozent,Hybrid Fiber Coax (HFC),Berlin,code11,89.99
2022/1,Prozent,Hybrid Fiber Coax (HFC),Brandenburg,code12,32.53
2022/2,Prozent,Hybrid Fiber Coax (HFC),Brandenburg,code12,33.38
2023/1,Prozent,Hybrid Fiber Coax (HFC),Brandenburg,code12,35.22
2023/2,Prozent,Hybrid Fiber Coax (HFC),Brandenburg,code12,35.34
2024/1,Prozent,Hybrid Fiber Coax (HFC),Brandenburg,code12,35.85
2022/1,Prozent,Hybrid Fiber Coax (HFC),Bremen,code04,91.56
2022/2,Prozent,Hybrid Fiber Coax (HFC),Bremen,code04,91.56
2023/1,Prozent,Hybrid Fiber Coax (HFC),Bremen,code04,92.94
2023/2,Prozent,Hybrid Fiber Coax (HFC),Bremen,code04,92.97
2024/1,Prozent,Hybrid Fiber Coax (HFC),Bremen,code04,93.12
2022/1,Prozent,Hybrid Fiber Coax (HFC),Hamburg,code02,88.24
2022/2,Prozent,Hybrid Fiber Coax (HFC),Hamburg,code02,88.37
