Year,Units,Zeitreihe,Art der Fläche,Value
2010,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,21.0
2011,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,17.0
2012,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,11.0
2013,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,19.0
2014,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,23.0
2015,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,10.0
2016,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,
2017,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,8.0
2018,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,16.0
2019,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,2.0
2020,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,36.0
2021,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,2.0
2022,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,-4.0
2023,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,2.0
1996,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",9.0
1997,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",20.0
1998,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",21.0
1999,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",21.0
2000,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",21.0
2001,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",29.0
2002,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",21.0
2003,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",34.0
2004,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",46.0
2005,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",57.0
2006,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",52.0
2007,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",33.0
2008,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",39.0
2009,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",32.0
2010,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",23.0
2011,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",27.0
2012,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",18.0
2013,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",23.0
2014,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",18.0
2015,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",12.0
2016,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",
2017,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",15.0
2018,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",10.0
2019,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",10.0
2020,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",12.0
2021,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",11.0
2022,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",12.0
2023,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",17.0
1996,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),87.0
1997,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),83.0
1998,Hektar pro Tag,Berechnete jährliche Werte,Siedlungsfläche (bebaut),87.0
