Year,Units,time series,länder,GeoCode,Value
2023/1,percentage,fibre-to-the-building/home (fttb/h),mecklenburg western pomerania,code13,34.19
2023/2,percentage,fibre-to-the-building/home (fttb/h),mecklenburg western pomerania,code13,41.68
2024/1,percentage,fibre-to-the-building/home (fttb/h),mecklenburg western pomerania,code13,45.63
2024/2,percentage,fibre-to-the-building/home (fttb/h),mecklenburg western pomerania,code13,49.18
2025/1,percentage,fibre-to-the-building/home (fttb/h),mecklenburg western pomerania,code13,42.41
2022/1,percentage,fibre-to-the-building/home (fttb/h),lower saxony,code03,30.18
2022/2,percentage,fibre-to-the-building/home (fttb/h),lower saxony,code03,41.36
2023/1,percentage,fibre-to-the-building/home (fttb/h),lower saxony,code03,48.49
2023/2,percentage,fibre-to-the-building/home (fttb/h),lower saxony,code03,54.31
2024/1,percentage,fibre-to-the-building/home (fttb/h),lower saxony,code03,59.53
2024/2,percentage,fibre-to-the-building/home (fttb/h),lower saxony,code03,63.38
2025/1,percentage,fibre-to-the-building/home (fttb/h),lower saxony,code03,68.78
2022/1,percentage,fibre-to-the-building/home (fttb/h),north rhine-westphalia,code05,18.36
2022/2,percentage,fibre-to-the-building/home (fttb/h),north rhine-westphalia,code05,22.45
2023/1,percentage,fibre-to-the-building/home (fttb/h),north rhine-westphalia,code05,29.59
2023/2,percentage,fibre-to-the-building/home (fttb/h),north rhine-westphalia,code05,31.56
2024/1,percentage,fibre-to-the-building/home (fttb/h),north rhine-westphalia,code05,35.32
2024/2,percentage,fibre-to-the-building/home (fttb/h),north rhine-westphalia,code05,38.96
2025/1,percentage,fibre-to-the-building/home (fttb/h),north rhine-westphalia,code05,43.06
2022/1,percentage,fibre-to-the-building/home (fttb/h),rhineland palatinate,code07,7.54
2022/2,percentage,fibre-to-the-building/home (fttb/h),rhineland palatinate,code07,11.64
2023/1,percentage,fibre-to-the-building/home (fttb/h),rhineland palatinate,code07,17.4
2023/2,percentage,fibre-to-the-building/home (fttb/h),rhineland palatinate,code07,21.54
2024/1,percentage,fibre-to-the-building/home (fttb/h),rhineland palatinate,code07,24.85
2024/2,percentage,fibre-to-the-building/home (fttb/h),rhineland palatinate,code07,30.85
2025/1,percentage,fibre-to-the-building/home (fttb/h),rhineland palatinate,code07,36.96
2022/1,percentage,fibre-to-the-building/home (fttb/h),saarland,code10,4.23
2022/2,percentage,fibre-to-the-building/home (fttb/h),saarland,code10,6.24
2023/1,percentage,fibre-to-the-building/home (fttb/h),saarland,code10,9.24
2023/2,percentage,fibre-to-the-building/home (fttb/h),saarland,code10,12.38
2024/1,percentage,fibre-to-the-building/home (fttb/h),saarland,code10,16.38
2024/2,percentage,fibre-to-the-building/home (fttb/h),saarland,code10,20.36
2025/1,percentage,fibre-to-the-building/home (fttb/h),saarland,code10,28.06
2022/1,percentage,fibre-to-the-building/home (fttb/h),saxony,code14,12.45
2022/2,percentage,fibre-to-the-building/home (fttb/h),saxony,code14,18.35
2023/1,percentage,fibre-to-the-building/home (fttb/h),saxony,code14,23.4
2023/2,percentage,fibre-to-the-building/home (fttb/h),saxony,code14,26.7
2024/1,percentage,fibre-to-the-building/home (fttb/h),saxony,code14,29.09
2024/2,percentage,fibre-to-the-building/home (fttb/h),saxony,code14,30.95
2025/1,percentage,fibre-to-the-building/home (fttb/h),saxony,code14,32.25
2022/1,percentage,fibre-to-the-building/home (fttb/h),saxony-anhalt,code15,12.62
2022/2,percentage,fibre-to-the-building/home (fttb/h),saxony-anhalt,code15,16.41
2023/1,percentage,fibre-to-the-building/home (fttb/h),saxony-anhalt,code15,23.2
2023/2,percentage,fibre-to-the-building/home (fttb/h),saxony-anhalt,code15,29.27
2024/1,percentage,fibre-to-the-building/home (fttb/h),saxony-anhalt,code15,39.68
2024/2,percentage,fibre-to-the-building/home (fttb/h),saxony-anhalt,code15,43.49
2025/1,percentage,fibre-to-the-building/home (fttb/h),saxony-anhalt,code15,45.53
2022/1,percentage,fibre-to-the-building/home (fttb/h),schleswig-holstein,code01,41.35
2022/2,percentage,fibre-to-the-building/home (fttb/h),schleswig-holstein,code01,46.66
2023/1,percentage,fibre-to-the-building/home (fttb/h),schleswig-holstein,code01,55.26
2023/2,percentage,fibre-to-the-building/home (fttb/h),schleswig-holstein,code01,59.12
2024/1,percentage,fibre-to-the-building/home (fttb/h),schleswig-holstein,code01,62.24
2024/2,percentage,fibre-to-the-building/home (fttb/h),schleswig-holstein,code01,67.32
2025/1,percentage,fibre-to-the-building/home (fttb/h),schleswig-holstein,code01,71.69
2022/1,percentage,fibre-to-the-building/home (fttb/h),thuringia,code16,5.72
2022/2,percentage,fibre-to-the-building/home (fttb/h),thuringia,code16,7.79
2023/1,percentage,fibre-to-the-building/home (fttb/h),thuringia,code16,9.39
2023/2,percentage,fibre-to-the-building/home (fttb/h),thuringia,code16,13.8
2024/1,percentage,fibre-to-the-building/home (fttb/h),thuringia,code16,15.77
2024/2,percentage,fibre-to-the-building/home (fttb/h),thuringia,code16,19.87
2025/1,percentage,fibre-to-the-building/home (fttb/h),thuringia,code16,22.51
2022/1,percentage,hybrid fiber coax (hfc),baden-wuerttemberg,code08,63.77
2022/2,percentage,hybrid fiber coax (hfc),baden-wuerttemberg,code08,64.3
2023/1,percentage,hybrid fiber coax (hfc),baden-wuerttemberg,code08,65.31
2023/2,percentage,hybrid fiber coax (hfc),baden-wuerttemberg,code08,65.4
2024/1,percentage,hybrid fiber coax (hfc),baden-wuerttemberg,code08,65.66
2024/2,percentage,hybrid fiber coax (hfc),baden-wuerttemberg,code08,65.8
2025/1,percentage,hybrid fiber coax (hfc),baden-wuerttemberg,code08,65.09
2022/1,percentage,hybrid fiber coax (hfc),bavaria,code09,58.7
2022/2,percentage,hybrid fiber coax (hfc),bavaria,code09,59.42
2023/1,percentage,hybrid fiber coax (hfc),bavaria,code09,59.3
2023/2,percentage,hybrid fiber coax (hfc),bavaria,code09,59.93
2024/1,percentage,hybrid fiber coax (hfc),bavaria,code09,60.05
2024/2,percentage,hybrid fiber coax (hfc),bavaria,code09,60.12
2025/1,percentage,hybrid fiber coax (hfc),bavaria,code09,59.68
2022/1,percentage,hybrid fiber coax (hfc),berlin,code11,88.62
2022/2,percentage,hybrid fiber coax (hfc),berlin,code11,88.73
2023/1,percentage,hybrid fiber coax (hfc),berlin,code11,90.6
2023/2,percentage,hybrid fiber coax (hfc),berlin,code11,89.79
2024/1,percentage,hybrid fiber coax (hfc),berlin,code11,89.99
2024/2,percentage,hybrid fiber coax (hfc),berlin,code11,89.57
2025/1,percentage,hybrid fiber coax (hfc),berlin,code11,89.5
2022/1,percentage,hybrid fiber coax (hfc),brandenburg,code12,32.53
2022/2,percentage,hybrid fiber coax (hfc),brandenburg,code12,33.38
2023/1,percentage,hybrid fiber coax (hfc),brandenburg,code12,35.22
2023/2,percentage,hybrid fiber coax (hfc),brandenburg,code12,35.34
2024/1,percentage,hybrid fiber coax (hfc),brandenburg,code12,35.85
2024/2,percentage,hybrid fiber coax (hfc),brandenburg,code12,36.08
2025/1,percentage,hybrid fiber coax (hfc),brandenburg,code12,37.06
2022/1,percentage,hybrid fiber coax (hfc),bremen,code04,91.56
2022/2,percentage,hybrid fiber coax (hfc),bremen,code04,91.56
2023/1,percentage,hybrid fiber coax (hfc),bremen,code04,92.94
2023/2,percentage,hybrid fiber coax (hfc),bremen,code04,92.97
2024/1,percentage,hybrid fiber coax (hfc),bremen,code04,93.12
2024/2,percentage,hybrid fiber coax (hfc),bremen,code04,93.16
2025/1,percentage,hybrid fiber coax (hfc),bremen,code04,93.2
2022/1,percentage,hybrid fiber coax (hfc),hamburg,code02,88.24
2022/2,percentage,hybrid fiber coax (hfc),hamburg,code02,88.37
2023/1,percentage,hybrid fiber coax (hfc),hamburg,code02,86.67
2023/2,percentage,hybrid fiber coax (hfc),hamburg,code02,86.7
2024/1,percentage,hybrid fiber coax (hfc),hamburg,code02,87.55
2024/2,percentage,hybrid fiber coax (hfc),hamburg,code02,87.55
2025/1,percentage,hybrid fiber coax (hfc),hamburg,code02,87.3
2022/1,percentage,hybrid fiber coax (hfc),hesse,code06,56.13
2022/2,percentage,hybrid fiber coax (hfc),hesse,code06,59.66
2023/1,percentage,hybrid fiber coax (hfc),hesse,code06,60.58
2023/2,percentage,hybrid fiber coax (hfc),hesse,code06,60.7
2024/1,percentage,hybrid fiber coax (hfc),hesse,code06,61.08
